field_name,required,data_type,source_system,source_field,scope,validation_rule,example_value,approved_by,approval_date,notes
organization,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Provisional technical field in 05A — confirm business ownership
code,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Provisional technical field in 05A — confirm format/reuse
name,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Provisional technical field in 05A
description,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional in provisional 05A model
is_active,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Lifecycle rule EVIDENCE REQUIRED
category,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Candidate only — not implemented
uom,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Candidate only — not implemented
pack_size,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Candidate only — not implemented
barcode,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Candidate only — not implemented
erp_item_identifier,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank field in 05C (erp_item_code) — values EVIDENCE REQUIRED
production_line,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Candidate only — not implemented
work_center,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Candidate only — not implemented
temperature_classification,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Candidate only — not implemented
site_applicability,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Unresolved — not modeled in 05A
department_applicability,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Unresolved — not modeled in 05A
